dev_id	total_seat
"220764-6893"	"88"
"220764-6947"	"291"
"220764-7250"	"148"
"220764-7013"	"63"
"220764-8353"	"146"
"220764-8354"	"146"
"220764-8355"	"89"
"220764-8356"	"153"
"220764-8357"	"152"
"220764-7917"	"283"
"220764-7918"	"134"
"220764-7919"	"134"
"220764-7920"	"134"
"220764-6948"	"134"
"220764-7921"	"134"
"220764-7922"	"134"
"220764-7014"	"76"
"220764-7015"	"76"
"220764-7016"	"356"
"220764-7017"	"302"
"220764-7020"	"242"
"220764-7021"	"389"
"220764-7022"	"191"
"220764-7023"	"220"
"220764-7024"	"90"
"220764-7025"	"217"
"220764-7026"	"247"
"220764-7027"	"207"
"220764-7028"	"192"
"220764-7030"	"152"
"220764-7031"	"202"
"220764-7134"	"143"
"220764-7137"	"177"
"220764-7251"	"190"
"220764-7253"	"126"
"220764-7268"	"134"
"220764-7267"	"102"
"220764-7263"	"80"
"220764-7373"	"123"
"220764-7374"	"80"
"220764-7375"	"120"
"220764-7376"	"131"
"220764-7378"	"109"
"220764-7379"	"145"
"220764-7403"	"110"
"220764-7404"	"110"
"220764-7405"	"104"
"220764-7406"	"100"
"220764-7261"	"139"
"220764-7390"	"148"
"220764-7391"	"90"
"220764-7392"	"102"
"220764-7393"	"133"
"220764-7394"	"90"
"220764-7438"	"90"
"220764-7439"	"90"
"220764-7440"	"90"
"220764-7441"	"90"
"220764-7262"	"171"
"220764-7424"	"154"
"220764-7425"	"419"
"220764-7426"	"154"
"220764-7428"	"120"
"220764-7413"	"115"
"220764-7414"	"99"
"220764-7415"	"130"
"220764-7416"	"87"
"220764-7663"	"148"
"220764-7664"	"137"
"220764-7665"	"138"
"220764-7666"	"143"
"220764-7669"	"76"
"220764-7673"	"76"
"220764-7690"	"152"
"220764-7691"	"152"
"220764-7692"	"160"
"220764-7693"	"300"
"220764-7694"	"54"
"220764-7695"	"69"
"220764-7850"	"89"
"220764-7851"	"101"
"220764-7852"	"112"
"220764-7853"	"103"
"220764-7923"	"150"
"220764-7924"	"145"
"220764-7925"	"119"
"220764-7926"	"94"
"220764-8021"	"139"
"220764-8022"	"138"
"220764-8023"	"154"
"220764-8024"	"153"
"220764-8025"	"165"
"220764-8026"	"165"
"220764-8027"	"137"
"220764-8028"	"149"
"220764-8002"	"80"
"220764-8040"	"59"
"220764-8041"	"77"
"220764-8042"	"56"
"220764-8043"	"103"
"220764-8044"	"95"
"220764-7255"	"237"
"220764-8052"	"122"
"220764-8053"	"88"
"220764-8054"	"143"
"220764-8055"	"181"
"220764-8160"	"127"
"220764-8161"	"87"
"220764-8162"	"82"
"220764-8150"	"119"
"220764-8151"	"111"
"220764-8152"	"134"
"220764-8153"	"102"
"220764-8180"	"157"
"220764-8190"	"161"
"220764-8191"	"72"
"220764-8192"	"41"
"220764-8193"	"80"
"220764-8194"	"99"
"220764-8195"	"100"
"220764-8311"	"102"
"220764-8312"	"102"
"220764-8313"	"102"
"220764-8314"	"102"
"220764-8315"	"95"
"220764-8316"	"99"
"220764-7135"	"114"
"220764-8230"	"117"
"220764-8231"	"105"
"220764-8232"	"100"
"220764-8233"	"106"
"220764-8234"	"97"
"220764-8298"	"92"
"220764-8326"	"179"
"220764-8327"	"170"
"220764-8328"	"170"
"220764-8329"	"171"
"220764-8495"	"119"
"220764-7029"	"119"
"220764-8366"	"120"
"220764-8367"	"111"
"220764-8368"	"120"
"220764-8369"	"123"
"220764-8370"	"121"
"220764-8371"	"133"
"220764-8372"	"122"
"220764-8380"	"145"
"220764-8401"	"178"
"220764-8402"	"179"
"220764-8403"	"99"
"220764-8404"	"99"
"220764-8603"	"501"
"220764-8611"	"54"
"220764-8615"	"48"
"220764-7744"	"136"
"220764-7748"	"139"
"220764-7247"	"161"
"220764-8411"	"72"
"220764-8412"	"41"
"220764-8413"	"80"
"220764-8414"	"99"
"220764-8415"	"100"
"220764-7245"	"91"
"220764-8419"	"91"
"220764-8420"	"91"
"220764-8421"	"71"
